Word,Clue
Unravel,To untangle or solve
Zip,To fasten or move quickly
Idea,Thought or concept
Noble,Of high rank or character
Lantern,Portable light source with a handle
Hat,Head covering
Dusk,Evening twilight
Igloo,House made of snow
Wistful,Full of yearning or desire
Axe,Wood-cutting tool
Gale,Strong wind
Dough,Bread mixture before baking
Uplight,Light directed upward
Lap,Upper legs when sitting
Fins,Fish limbs
Glove,Hand covering
Scarlet,Bright red color
Lip,Mouth edge
Lace,Delicate fabric
Orbit,Path around a planet
Quilted,Stitched with padding between layers
Fat,Not thin
Mole,Small burrowing animal
Laser,Focused light beam
Garnish,Decorate food with small items
Gem,Precious stone
Hush,Be quiet!
Opine,To express an opinion
Outlast,To last longer than
Elf,Mythical small being
Zinc,Metallic element
Grape,Small fruit for wine
Defiant,Openly resisting authority
Box,Square container
Flee,Run away
Zebra,Striped animal
Kindled,Started a fire or sparked interest
Yam,Edible tuber
Tame,Domesticated or gentle
Elbow,Joint in the arm
Zippers,Fasteners consisting of interlocking teeth
Egg,Laid by birds
Bait,Lure for catching fish
Shark,Fierce sea predator
Glacier,Large mass of moving ice
One,Single unit
Shed,Small storage building
Alarm,Warning sound
Almonds,Edible seeds of a tree
Bar,Establishment for drinks
Wink,Quick closing of one eye
Roast,Cook with dry heat
Vagrant,Person with no settled home
Fix,Repair
Turf,Grass surface
Vowel,"Letter like A, E, I, O, U"
Falling,Coming down freely from a higher place
Map,Geographical chart
Mute,Silent or unable to speak
Spice,Flavoring for food
Knitted,Made by interlocking yarn with needles
Sit,Take a seat
Wren,Small songbird
Lunar,Relating to the moon
Balance,Even distribution of weight
Tea,Hot beverage
Eels,Slippery fish
Woven,Made by interlacing threads
Sincere,Genuine or honest in feeling
Bat,Night-flying mammal
Rope,Strong cord
Erect,Standing upright
Ignited,Caught fire or started burning
Bib,Baby’s neckwear
Jade,Green gemstone
Quilt,Bed covering with padding
Yankees,Baseball team or northerners in the US
Rat,Rodent
Zero,Number meaning nothing
Inlet,Narrow water passage
Rippled,Formed small waves
Arm,Upper limb
Lure,Attract or entice
Yield,To give way or produce
Quicken,To make or become faster
Boy,Young male
Idle,Not active
Yodel,Type of singing
Armband,Band worn around the arm
Fan,Cooling device or admirer
Hymn,Religious song
Hinge,Door pivot
Tactics,Planned actions for achieving a goal
Let,Allow
Tusk,Elephant’s tooth
Ample,More than enough
Yawning,Opening the mouth wide from tiredness
Sea,Large body of saltwater
Kite,Toy flown in the wind
Honey,Sweet bee product
Pancake,Flat cake cooked on a griddle
Bag,Carrying sack
Pave,Cover with concrete or stones
Truce,Temporary peace
Vibrate,Move rapidly back and forth
Oak,Type of tree
Sofa,Comfortable seat
Jelly,Fruit spread
Migrate,Move from one region to another
Tip,Advice or end point
Moss,Green plant on rocks
Niece,Daughter of a sibling
Fiction,Literature created from imagination
Top,Highest point
Elms,Type of tree
Jolly,Very cheerful
Muffins,Small baked quick breads
Hen,Female chicken
Bark,Tree covering or dog sound
Mirth,Great joy
Elastic,Stretchy and flexible material
God,Deity
Drip,Falling drop of liquid
Earth,Our planet
Journey,Travel from one place to another
Vet,Animal doctor
Vast,Very large
Bread,Loaf or slice to eat
Garment,An article of clothing
Fox,Sly animal
Calm,Free from disturbance
Crane,Tall machine or long-necked bird
Waffles,Grid-patterned breakfast cakes
Tag,Label or children’s game
Yarn,Spun thread or a tale
Vivid,Bright and intense
Juggler,Performer who tosses objects in the air
Jet,Fast airplane
Quiz,Knowledge test
Chair,Seat with a back
Violets,Small purple or blue flowers
Yes,Affirmative reply
Bowl,Round deep dish
Youth,Time of being young
Raccoon,Nocturnal mammal with a masked face
Mop,Floor cleaning tool
Oars,Paddles for rowing
Miner,Worker in a mine
Dazzled,Blinded or amazed by bright light
Web,Spider’s creation
Jerk,Sudden movement
Quash,Suppress completely
Unicorn,Mythical horse with a single horn
Pig,Farm animal
Undo,Reverse an action
Zonal,Divided by areas
Glisten,Shine with a sparkling light
Fin,Fish limb
Leap,Jump high
Ledge,Shelf-like projection
Venture,Risky or daring journey or undertaking
Ink,Writing fluid
Yawn,Open mouth from tiredness
Haste,Great speed
Eagerly,With keen or enthusiastic desire
Pie,Baked dessert
Oath,Solemn promise
Unite,Join together
Lending,Giving temporarily with expectation of return
Fur,Animal hair
Urns,Decorative vases
Knife,Sharp utensil
Pen,Writing instrument
Coat,Outer garment
Viper,Venomous snake
Tie,Neckwear or to draw
Ocean,Large body of saltwater
Hot,High temperature
Ridge,"Long, narrow hilltop"
Man,Adult male
Blaze,Bright flame or fire
Ear,Hearing organ
Win,To achieve victory
Jam,Fruit spread
Joy,Happiness
Tap,Faucet or light touch
Eye,Organ for seeing
Dog,Domestic canine
Sun,Star at the center of our solar system
Try,Attempt
Ant,Tiny insect
Gym,Exercise place
Cat,Domestic feline
Art,Creative work
Cup,Drinking vessel
Sin,Immoral act
Sad,Unhappy
Pan,Cooking vessel
Van,Delivery vehicle
Log,Fallen tree trunk
Owl,Night bird
Nut,Edible seed
Wax,Polishing substance
Zoo,Place for animals
Car,Motor vehicle
Jar,Glass container
Leg,Lower limb
Son,Male child
Bin,Storage container
Pin,Small fastener
Set,Collection or to place
